id,word,part_of_speech,cefr_level,phonetic_uk,phonetic_us,thai_meaning,example_sentence,example_translation,category,distractors,audio_key,note,raw_entry
1131,divorced,adj.,A2,,,,,,General,,divorced,,divorced adj.
1132,document,n.,A2,,,,,,General,,document,,document n.
1133,double,"adj., det., pron., v.",A2,,,,,,General,,double,,"double adj., det., pron., v."
1134,download,"v., n.",A2,,,,,,General,,download,,"download v., n."
1135,downstairs,adj.,A2,,,,,,General,,downstairs,,downstairs adj.
1136,drama,n.,A2,,,,,,General,,drama,,drama n.
1137,drawing,n.,A2,,,,,,General,,drawing,,drawing n.
1138,dream,"n., v.",A2,,,,,,General,,dream,,"dream n., v."
1139,drive,n.,A2,,,,,,General,,drive,,drive n.
1140,driving,n.,A2,,,,,,General,,driving,,driving n.
1141,drop,v.,A2,,,,,,General,,drop,,drop v.
1142,drug,n.,A2,,,,,,General,,drug,,drug n.
1143,dry,"adj., v.",A2,,,,,,General,,dry,,"dry adj., v."
1144,earn,v.,A2,,,,,,General,,earn,,earn v.
1145,earth,n.,A2,,,,,,General,,earth,,earth n.
1146,easily,adv.,A2,,,,,,General,,easily,,easily adv.
1147,education,n.,A2,,,,,,General,,education,,education n.
1148,effect,n.,A2,,,,,,General,,effect,,effect n.
1149,either,"det./pron., adv.",A2,,,,,,General,,either,,"either det./pron., adv."
1150,electric,adj.,A2,,,,,,General,,electric,,electric adj.
1151,electrical,adj.,A2,,,,,,General,,electrical,,electrical adj.
1152,electricity,n.,A2,,,,,,General,,electricity,,electricity n.
1153,electronic,adj.,A2,,,,,,General,,electronic,,electronic adj.
1154,employ,v.,A2,,,,,,General,,employ,,employ v.
1155,employee,n.,A2,,,,,,General,,employee,,employee n.
1156,employer,n.,A2,,,,,,General,,employer,,employer n.
1157,empty,adj.,A2,,,,,,General,,empty,,empty adj.
1158,ending,n.,A2,,,,,,General,,ending,,ending n.
1159,energy,n.,A2,,,,,,General,,energy,,energy n.
1160,engine,n.,A2,,,,,,General,,engine,,engine n.
1161,engineer,n.,A2,,,,,,General,,engineer,,engineer n.
1162,enormous,adj.,A2,,,,,,General,,enormous,,enormous adj.
1163,enter,v.,A2,,,,,,General,,enter,,enter v.
1164,environment,n.,A2,,,,,,General,,environment,,environment n.
1165,equipment,n.,A2,,,,,,General,,equipment,,equipment n.
1166,error,n.,A2,,,,,,General,,error,,error n.
1167,especially,adv.,A2,,,,,,General,,especially,,especially adv.
1168,essay,n.,A2,,,,,,General,,essay,,essay n.
1169,everyday,adj.,A2,,,,,,General,,everyday,,everyday adj.
1170,everywhere,adv.,A2,,,,,,General,,everywhere,,everywhere adv.
1171,evidence,n.,A2,,,,,,General,,evidence,,evidence n.
1172,exact,adj.,A2,,,,,,General,,exact,,exact adj.
1173,exactly,adv.,A2,,,,,,General,,exactly,,exactly adv.
1174,excellent,adj.,A2,,,,,,General,,excellent,,excellent adj.
1175,except,prep.,A2,,,,,,General,,except,,except prep.
1176,exist,v.,A2,,,,,,General,,exist,,exist v.
1177,expect,v.,A2,,,,,,General,,expect,,expect v.
1178,experience,n.,A2,,,,,,General,,experience,,experience n.
1179,experiment,n.,A2,,,,,,General,,experiment,,experiment n.
1180,expert,"n.,adj.",A2,,,,,,General,,expert,,"expert n.,adj."
1181,explanation,n.,A2,,,,,,General,,explanation,,explanation n.
1182,express,v.,A2,,,,,,General,,express,,express v.
1183,expression,n.,A2,,,,,,General,,expression,,expression n.
1184,extreme,adj.,A2,,,,,,General,,extreme,,extreme adj.
1185,extremely,adv.,A2,,,,,,General,,extremely,,extremely adv.
1186,factor,n.,A2,,,,,,General,,factor,,factor n.
1187,factory,n.,A2,,,,,,General,,factory,,factory n.
1188,fail,v.,A2,,,,,,General,,fail,,fail v.
1189,fair,adj.,A2,,,,,,General,,fair,,fair adj.
1190,fall,n.,A2,,,,,,General,,fall,,fall n.
1191,fan,n.,A2,,,,,,General,,fan,,fan n.
1192,farm,v.,A2,,,,,,General,,farm,,farm v.
1193,farming,n.,A2,,,,,,General,,farming,,farming n.
1194,fashion,n.,A2,,,,,,General,,fashion,,fashion n.
1195,fat,n.,A2,,,,,,General,,fat,,fat n.
1196,fear,n.,A2,,,,,,General,,fear,,fear n.
1197,feature,n.,A2,,,,,,General,,feature,,feature n.
1198,feed,v.,A2,,,,,,General,,feed,,feed v.
1199,female,"adj., n.",A2,,,,,,General,,female,,"female adj., n."
1200,fiction,n.,A2,,,,,,General,,fiction,,fiction n.
1201,field,n.,A2,,,,,,General,,field,,field n.
1202,fight,"v., n.",A2,,,,,,General,,fight,,"fight v., n."
1203,figure,n.,A2,,,,,,General,,figure,,figure n.
1204,film,v.,A2,,,,,,General,,film,,film v.
1205,final,n.,A2,,,,,,General,,final,,final n.
1206,finally,adv.,A2,,,,,,General,,finally,,finally adv.
1207,finger,n.,A2,,,,,,General,,finger,,finger n.
1208,finish,n.,A2,,,,,,General,,finish,,finish n.
1209,first,n.,A2,,,,,,General,,first,,first n.
1210,firstly,adv.,A2,,,,,,General,,firstly,,firstly adv.
1211,fish,v.,A2,,,,,,General,,fish,,fish v.
1212,fishing,n.,A2,,,,,,General,,fishing,,fishing n.
1213,fit,"v., adj.",A2,,,,,,General,,fit,,"fit v., adj."
1214,fix,v.,A2,,,,,,General,,fix,,fix v.
1215,flat,adj.,A2,,,,,,General,,flat,,flat adj.
1216,flu,n.,A2,,,,,,General,,flu,,flu n.
1217,fly,n.,A2,,,,,,General,,fly,,fly n.
1218,flying,"n., adj.",A2,,,,,,General,,flying,,"flying n., adj."
1219,focus,"v., n.",A2,,,,,,General,,focus,,"focus v., n."
1220,following,adj.,A2,,,,,,General,,following,,following adj.
1221,foreign,adj.,A2,,,,,,General,,foreign,,foreign adj.
1222,forest,n.,A2,,,,,,General,,forest,,forest n.
1223,fork,n.,A2,,,,,,General,,fork,,fork n.
1224,formal,adj.,A2,,,,,,General,,formal,,formal adj.
1225,fortunately,adv.,A2,,,,,,General,,fortunately,,fortunately adv.
1226,forward,adv.,A2,,,,,,General,,forward,,forward adv.
1227,free,adv.,A2,,,,,,General,,free,,free adv.
1228,fresh,adj.,A2,,,,,,General,,fresh,,fresh adj.
1229,fridge,n.,A2,,,,,,General,,fridge,,fridge n.
1230,frog,n.,A2,,,,,,General,,frog,,frog n.
1231,fun,adj.,A2,,,,,,General,,fun,,fun adj.
1232,furniture,n.,A2,,,,,,General,,furniture,,furniture n.
1233,further,adj.,A2,,,,,,General,,further,,further adj.
1234,future,adj.,A2,,,,,,General,,future,,future adj.
1235,gallery,n.,A2,,,,,,General,,gallery,,gallery n.
1236,gap,n.,A2,,,,,,General,,gap,,gap n.
1237,gas,n.,A2,,,,,,General,,gas,,gas n.
1238,gate,n.,A2,,,,,,General,,gate,,gate n.
1239,general,adj.,A2,,,,,,General,,general,,general adj.
1240,gift,n.,A2,,,,,,General,,gift,,gift n.
1241,goal,n.,A2,,,,,,General,,goal,,goal n.
1242,god,n.,A2,,,,,,General,,god,,god n.
1243,gold,"n., adj.",A2,,,,,,General,,gold,,"gold n., adj."
1244,golf,n.,A2,,,,,,General,,golf,,golf n.
1245,good,n.,A2,,,,,,General,,good,,good n.
1246,government,n.,A2,,,,,,General,,government,,government n.
1247,grass,n.,A2,,,,,,General,,grass,,grass n.
1248,greet,v.,A2,,,,,,General,,greet,,greet v.
1249,ground,n.,A2,,,,,,General,,ground,,ground n.
1250,guest,n.,A2,,,,,,General,,guest,,guest n.
1251,guide,"n., v.",A2,,,,,,General,,guide,,"guide n., v."
1252,gun,n.,A2,,,,,,General,,gun,,gun n.
1253,guy,n.,A2,,,,,,General,,guy,,guy n.
1254,habit,n.,A2,,,,,,General,,habit,,habit n.
1255,half,adv.,A2,,,,,,General,,half,,half adv.
1256,hall,n.,A2,,,,,,General,,hall,,hall n.
1257,happily,adv.,A2,,,,,,General,,happily,,happily adv.
1258,have,auxiliary v.,A2,,,,,,General,,have,,have auxiliary v.
1259,headache,n.,A2,,,,,,General,,headache,,headache n.
1260,heart,n.,A2,,,,,,General,,heart,,heart n.
1261,heat,"n., v.",A2,,,,,,General,,heat,,"heat n., v."
1262,heavy,adj.,A2,,,,,,General,,heavy,,heavy adj.
1263,height,n.,A2,,,,,,General,,height,,height n.
1264,helpful,adj.,A2,,,,,,General,,helpful,,helpful adj.
1265,hero,n.,A2,,,,,,General,,hero,,hero n.
1266,hers,pron.,A2,,,,,,General,,hers,,hers pron.
1267,herself,pron.,A2,,,,,,General,,herself,,herself pron.
1268,hide,v.,A2,,,,,,General,,hide,,hide v.
1269,high,adv.,A2,,,,,,General,,high,,high adv.
1270,hill,n.,A2,,,,,,General,,hill,,hill n.
1271,himself,pron.,A2,,,,,,General,,himself,,himself pron.
1272,his,pron.,A2,,,,,,General,,his,,his pron.
1273,hit,"v., n.",A2,,,,,,General,,hit,,"hit v., n."
1274,hockey,n.,A2,,,,,,General,,hockey,,hockey n.
1275,hold,v.,A2,,,,,,General,,hold,,hold v.
1276,hole,n.,A2,,,,,,General,,hole,,hole n.
1277,home,adj.,A2,,,,,,General,,home,,home adj.
1278,hope,n.,A2,,,,,,General,,hope,,hope n.
1279,huge,adj.,A2,,,,,,General,,huge,,huge adj.
1280,human,"adj., n.",A2,,,,,,General,,human,,"human adj., n."
1281,hurt,"v., adj.",A2,,,,,,General,,hurt,,"hurt v., adj."
1282,ideal,adj.,A2,,,,,,General,,ideal,,ideal adj.
1283,identify,v.,A2,,,,,,General,,identify,,identify v.
1284,ill,adj.,A2,,,,,,General,,ill,,ill adj.
1285,illness,n.,A2,,,,,,General,,illness,,illness n.
1286,image,n.,A2,,,,,,General,,image,,image n.
1287,immediately,adv.,A2,,,,,,General,,immediately,,immediately adv.
1288,impossible,adj.,A2,,,,,,General,,impossible,,impossible adj.
1289,included,adj.,A2,,,,,,General,,included,,included adj.
1290,including,prep.,A2,,,,,,General,,including,,including prep.
1291,increase,"v., n.",A2,,,,,,General,,increase,,"increase v., n."
1292,incredible,adj.,A2,,,,,,General,,incredible,,incredible adj.
1293,independent,adj.,A2,,,,,,General,,independent,,independent adj.
1294,individual,"n., adj.",A2,,,,,,General,,individual,,"individual n., adj."
1295,industry,n.,A2,,,,,,General,,industry,,industry n.
1296,informal,adj.,A2,,,,,,General,,informal,,informal adj.
1297,injury,n.,A2,,,,,,General,,injury,,injury n.
1298,insect,n.,A2,,,,,,General,,insect,,insect n.
1299,inside,"prep., adv., n., adj.",A2,,,,,,General,,inside,,"inside prep., adv., n., adj."
1300,instead,adv.,A2,,,,,,General,,instead,,instead adv.
1301,instruction,n.,A2,,,,,,General,,instruction,,instruction n.
1302,instructor,n.,A2,,,,,,General,,instructor,,instructor n.
1303,instrument,n.,A2,,,,,,General,,instrument,,instrument n.
1304,intelligent,adj.,A2,,,,,,General,,intelligent,,intelligent adj.
1305,international,adj.,A2,,,,,,General,,international,,international adj.
1306,introduction,n.,A2,,,,,,General,,introduction,,introduction n.
1307,invent,v.,A2,,,,,,General,,invent,,invent v.
1308,invention,n.,A2,,,,,,General,,invention,,invention n.
1309,invitation,n.,A2,,,,,,General,,invitation,,invitation n.
1310,invite,v.,A2,,,,,,General,,invite,,invite v.
1311,involve,v.,A2,,,,,,General,,involve,,involve v.
1312,item,n.,A2,,,,,,General,,item,,item n.
1313,itself,pron.,A2,,,,,,General,,itself,,itself pron.
1314,jam,n.,A2,,,,,,General,,jam,,jam n.
1315,jazz,n.,A2,,,,,,General,,jazz,,jazz n.
1316,jewellery,n.,A2,,,,,,General,,jewellery,,jewellery n.
1317,joke,"n., v.",A2,,,,,,General,,joke,,"joke n., v."
1318,journalist,n.,A2,,,,,,General,,journalist,,journalist n.
1319,jump,"v., n.",A2,,,,,,General,,jump,,"jump v., n."
1320,kid,n.,A2,,,,,,General,,kid,,kid n.
1321,kill,v.,A2,,,,,,General,,kill,,kill v.
1322,king,n.,A2,,,,,,General,,king,,king n.
1323,knee,n.,A2,,,,,,General,,knee,,knee n.
1324,knife,n.,A2,,,,,,General,,knife,,knife n.
1325,knock,v.,A2,,,,,,General,,knock,,knock v.
1326,knowledge,n.,A2,,,,,,General,,knowledge,,knowledge n.
1327,lab,n.,A2,,,,,,General,,lab,,lab n.
1328,lady,n.,A2,,,,,,General,,lady,,lady n.
1329,lake,n.,A2,,,,,,General,,lake,,lake n.
1330,lamp,n.,A2,,,,,,General,,lamp,,lamp n.
1331,land,v.,A2,,,,,,General,,land,,land v.
1332,laptop,n.,A2,,,,,,General,,laptop,,laptop n.
1333,last,"adv. , n.",A2,,,,,,General,,last,final,"last1 (final) adv. , n."
1334,last,v.,A2,,,,,,General,,last,taking time,last1 (taking time) v.
1335,later,adj.,A2,,,,,,General,,later,,later adj.
1336,laughter,n.,A2,,,,,,General,,laughter,,laughter n.
1337,law,n.,A2,,,,,,General,,law,,law n.
1338,lawyer,n.,A2,,,,,,General,,lawyer,,lawyer n.
1339,lazy,adj.,A2,,,,,,General,,lazy,,lazy adj.
1340,lead,v.,A2,,,,,,General,,lead,sense 1,lead1 v.
1341,leader,n.,A2,,,,,,General,,leader,,leader n.
1342,learning,n.,A2,,,,,,General,,learning,,learning n.
1343,least,"det./pron., adv.",A2,,,,,,General,,least,,"least det./pron., adv."
1344,lecture,"n., v.",A2,,,,,,General,,lecture,,"lecture n., v."
1345,lemon,n.,A2,,,,,,General,,lemon,,lemon n.
